hand,color
AA,紺
AKs,紺
AQs,赤
ATs,赤
AJs,赤
KQs,赤
KQo,黄
KJs,黄
QTs,黄
JTo,黄
T9s,緑
98s,緑
87s,緑
76s,緑
65s,ピンク
54s,ピンク
QJo,白
KTo,白
A2s,グレー
22,水色 
